CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG TÀI SẢN,Q1 2021,"10,242.56",AGG
TÀI SẢN NGẮN HẠN,Q1 2021,"9,462.79",AGG
Tiền Và Tương Đương Tiền,Q1 2021,580.58,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2021,152.12,AGG
Các Khoản Phải Thu,Q1 2021,"2,247.15",AGG
"Hàng Tồn Kho, Ròng",Q1 2021,"5,784.77",AGG
Tài Sản Lưu Động Khác,Q1 2021,698.17,AGG
TÀI SẢN DÀI HẠN,Q1 2021,779.76,AGG
Phải Thu Dài Hạn,Q1 2021,314.18,AGG
Tài Sản Cố Định,Q1 2021,37.32,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2021,43.47,AGG
Tài Sản Dở Dang Dài Hạn,Q1 2021,0.00,AGG
Đầu Tư Dài Hạn,Q1 2021,326.78,AGG
Tài Sản Dài Hạn Khác,Q1 2021,58.01,AGG
NỢ PHẢI TRẢ,Q1 2021,"7,966.02",AGG
Nợ Ngắn Hạn,Q1 2021,"4,342.36",AGG
Nợ Dài Hạn,Q1 2021,"3,623.67",AGG
VỐN CHỦ SỞ HỮU,Q1 2021,"2,276.53",AGG
Vốn Và Các Quỹ,Q1 2021,"2,276.53",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2021,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2021,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q1 2021,"10,242.56",AGG
TỔNG TÀI SẢN,Q2 2021,"11,925.66",AGG
TÀI SẢN NGẮN HẠN,Q2 2021,"10,493.93",AGG
Tiền Và Tương Đương Tiền,Q2 2021,436.14,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2021,256.09,AGG
Các Khoản Phải Thu,Q2 2021,"2,047.28",AGG
"Hàng Tồn Kho, Ròng",Q2 2021,"7,031.97",AGG
Tài Sản Lưu Động Khác,Q2 2021,722.44,AGG
TÀI SẢN DÀI HẠN,Q2 2021,"1,431.73",AGG
Phải Thu Dài Hạn,Q2 2021,"1,075.49",AGG
Tài Sản Cố Định,Q2 2021,35.78,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2021,36.09,AGG
Tài Sản Dở Dang Dài Hạn,Q2 2021,4.02,AGG
Đầu Tư Dài Hạn,Q2 2021,223.76,AGG
Tài Sản Dài Hạn Khác,Q2 2021,56.60,AGG
NỢ PHẢI TRẢ,Q2 2021,"9,474.63",AGG
Nợ Ngắn Hạn,Q2 2021,"5,301.55",AGG
Nợ Dài Hạn,Q2 2021,"4,173.08",AGG
VỐN CHỦ SỞ HỮU,Q2 2021,"2,451.03",AGG
Vốn Và Các Quỹ,Q2 2021,"2,451.03",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2021,--,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2021,--,AGG
TỔNG CỘNG NGUỒN VỐN,Q2 2021,"11,925.66",AGG
TỔNG TÀI SẢN,Q3 2021,"11,829.61",AGG
TÀI SẢN NGẮN HẠN,Q3 2021,"10,435.16",AGG
Tiền Và Tương Đương Tiền,Q3 2021,144.47,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2021,221.81,AGG
Các Khoản Phải Thu,Q3 2021,"2,130.56",AGG
"Hàng Tồn Kho, Ròng",Q3 2021,"7,220.60",AGG
Tài Sản Lưu Động Khác,Q3 2021,717.72,AGG
TÀI SẢN DÀI HẠN,Q3 2021,"1,394.46",AGG
Phải Thu Dài Hạn,Q3 2021,"1,055.26",AGG
Tài Sản Cố Định,Q3 2021,34.27,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2021,15.63,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2021,7.23,AGG
Đầu Tư Dài Hạn,Q3 2021,229.42,AGG
Tài Sản Dài Hạn Khác,Q3 2021,52.65,AGG
NỢ PHẢI TRẢ,Q3 2021,"9,375.69",AGG
Nợ Ngắn Hạn,Q3 2021,"5,277.02",AGG
Nợ Dài Hạn,Q3 2021,"4,098.67",AGG
VỐN CHỦ SỞ HỮU,Q3 2021,"2,453.92",AGG
Vốn Và Các Quỹ,Q3 2021,"2,453.92",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2021,--,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2021,--,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2021,"11,829.61",AGG
TỔNG TÀI SẢN,Q4 2021,"12,564.96",AGG
TÀI SẢN NGẮN HẠN,Q4 2021,"11,089.93",AGG
Tiền Và Tương Đương Tiền,Q4 2021,397.64,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2021,118.53,AGG
Các Khoản Phải Thu,Q4 2021,"3,123.32",AGG
"Hàng Tồn Kho, Ròng",Q4 2021,"6,729.79",AGG
Tài Sản Lưu Động Khác,Q4 2021,720.66,AGG
TÀI SẢN DÀI HẠN,Q4 2021,"1,475.03",AGG
Phải Thu Dài Hạn,Q4 2021,"1,105.38",AGG
Tài Sản Cố Định,Q4 2021,32.72,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2021,18.21,AGG
Tài Sản Dở Dang Dài Hạn,Q4 2021,8.51,AGG
Đầu Tư Dài Hạn,Q4 2021,229.99,AGG
Tài Sản Dài Hạn Khác,Q4 2021,80.21,AGG
