CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Doanh Số,Q3 2024,268.37,AGG
Các Khoản Giảm Trừ,Q3 2024,0.00,AGG
Doanh Số Thuần,Q3 2024,268.37,AGG
Giá Vốn Hàng Bán,Q3 2024,-215.87,AGG
Lãi Gộp,Q3 2024,52.49,AGG
Thu Nhập Tài Chính,Q3 2024,115.67,AGG
Chi Phí Tài Chính,Q3 2024,-40.13,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,AGG
Chi Phí Bán Hàng,Q3 2024,-47.56,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-26.24,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,54.24,AGG
"Thu Nhập Khác, Ròng",Q3 2024,-11.67,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,42.57,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-18.41,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,24.16,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-0.13,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,24.29,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,95,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,95,AGG
EBITDA,Q3 2024,-18.81,AGG
Doanh Số,Q3 2024,23.21,LEC
Các Khoản Giảm Trừ,Q3 2024,0.00,LEC
Doanh Số Thuần,Q3 2024,23.21,LEC
Giá Vốn Hàng Bán,Q3 2024,-20.56,LEC
Lãi Gộp,Q3 2024,2.65,LEC
Thu Nhập Tài Chính,Q3 2024,0.00,LEC
Chi Phí Tài Chính,Q3 2024,-7.86,LEC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,LEC
Chi Phí Bán Hàng,Q3 2024,0.00,LEC
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-1.57,LEC
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,-6.78,LEC
"Thu Nhập Khác, Ròng",Q3 2024,0.15,LEC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,LEC
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,-6.63,LEC
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,0.00,LEC
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,-6.63,LEC
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,-2.56,LEC
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,-4.06,LEC
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,0,LEC
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,LEC
EBITDA,Q3 2024,1.91,LEC
Doanh Số,Q3 2024,7.19,FDC
Các Khoản Giảm Trừ,Q3 2024,0.00,FDC
Doanh Số Thuần,Q3 2024,7.19,FDC
Giá Vốn Hàng Bán,Q3 2024,-1.53,FDC
Lãi Gộp,Q3 2024,5.66,FDC
Thu Nhập Tài Chính,Q3 2024,0.26,FDC
Chi Phí Tài Chính,Q3 2024,-0.79,FDC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,FDC
Chi Phí Bán Hàng,Q3 2024,0.00,FDC
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-2.70,FDC
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,2.43,FDC
"Thu Nhập Khác, Ròng",Q3 2024,0.00,FDC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,FDC
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,2.43,FDC
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,0.00,FDC
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,2.43,FDC
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,FDC
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,2.43,FDC
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,63,FDC
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,FDC
EBITDA,Q3 2024,3.55,FDC
Doanh Số,Q3 2024,40.93,API
Các Khoản Giảm Trừ,Q3 2024,0.00,API
Doanh Số Thuần,Q3 2024,40.93,API
Giá Vốn Hàng Bán,Q3 2024,-27.22,API
Lãi Gộp,Q3 2024,13.72,API
Thu Nhập Tài Chính,Q3 2024,5.00,API
Chi Phí Tài Chính,Q3 2024,-13.11,API
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,API
Chi Phí Bán Hàng,Q3 2024,-4.80,API
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-6.85,API
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,-6.04,API
"Thu Nhập Khác, Ròng",Q3 2024,0.72,API
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,API
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,-5.33,API
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-1.31,API
