CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,22.23,NTC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-27.13,NTC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-10.00,NTC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-14.91,NTC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,21.43,NTC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.00,NTC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,6.52,NTC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-1.06,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-1.06,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,1.13,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,0.07,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-17.28,PTL
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-28.74,PTL
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,57.97,PTL
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,11.95,PTL
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,16.72,PTL
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,PTL
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,28.67,PTL
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,"-1,189.43",PDR
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-10.97,PDR
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,231.18,PDR
