CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Doanh Số,Q3 2024,108.52,NVT
Các Khoản Giảm Trừ,Q3 2024,0.00,NVT
Doanh Số Thuần,Q3 2024,108.52,NVT
Giá Vốn Hàng Bán,Q3 2024,-46.46,NVT
Lãi Gộp,Q3 2024,62.07,NVT
Thu Nhập Tài Chính,Q3 2024,1.65,NVT
Chi Phí Tài Chính,Q3 2024,-5.78,NVT
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,NVT
Chi Phí Bán Hàng,Q3 2024,-12.67,NVT
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-23.12,NVT
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,22.15,NVT
"Thu Nhập Khác, Ròng",Q3 2024,0.17,NVT
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,NVT
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,22.33,NVT
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-6.31,NVT
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,16.01,NVT
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,12.37,NVT
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,3.65,NVT
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,0,NVT
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,NVT
EBITDA,Q3 2024,--,NVT
Doanh Số,Q3 2024,51.24,NTC
Các Khoản Giảm Trừ,Q3 2024,0.00,NTC
Doanh Số Thuần,Q3 2024,51.24,NTC
Giá Vốn Hàng Bán,Q3 2024,-17.47,NTC
Lãi Gộp,Q3 2024,33.77,NTC
Thu Nhập Tài Chính,Q3 2024,48.58,NTC
Chi Phí Tài Chính,Q3 2024,-1.03,NTC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,NTC
Chi Phí Bán Hàng,Q3 2024,-0.70,NTC
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-7.92,NTC
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,72.70,NTC
"Thu Nhập Khác, Ròng",Q3 2024,1.16,NTC
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,NTC
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,73.86,NTC
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,-9.70,NTC
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,64.16,NTC
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,NTC
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,64.16,NTC
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,2673,NTC
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,NTC
EBITDA,Q3 2024,25.15,NTC
Doanh Số,Q3 2024,0.00,PIV
Các Khoản Giảm Trừ,Q3 2024,0.00,PIV
Doanh Số Thuần,Q3 2024,0.00,PIV
Giá Vốn Hàng Bán,Q3 2024,-0.00,PIV
Lãi Gộp,Q3 2024,0.00,PIV
Thu Nhập Tài Chính,Q3 2024,0.00,PIV
Chi Phí Tài Chính,Q3 2024,0.00,PIV
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2024,0.00,PIV
Chi Phí Bán Hàng,Q3 2024,0.00,PIV
Chi Phí Quản Lý Doanh Nghiệp,Q3 2024,-0.18,PIV
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2024,-0.18,PIV
"Thu Nhập Khác, Ròng",Q3 2024,-0.03,PIV
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2024,0.00,PIV
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2024,-0.21,PIV
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2024,0.00,PIV
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2024,-0.21,PIV
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2024,0.00,PIV
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2024,-0.21,PIV
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2024,-12,PIV
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2024,0,PIV
EBITDA,Q3 2024,-0.18,PIV
