CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG TÀI SẢN,Q3 2024,"7,204.56",AGG
TÀI SẢN NGẮN HẠN,Q3 2024,"6,236.77",AGG
Tiền Và Tương Đương Tiền,Q3 2024,100.48,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,76.10,AGG
Các Khoản Phải Thu,Q3 2024,"5,028.79",AGG
"Hàng Tồn Kho, Ròng",Q3 2024,899.79,AGG
Tài Sản Lưu Động Khác,Q3 2024,131.60,AGG
TÀI SẢN DÀI HẠN,Q3 2024,967.78,AGG
Phải Thu Dài Hạn,Q3 2024,688.42,AGG
Tài Sản Cố Định,Q3 2024,22.15,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,63.80,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2024,0.00,AGG
Đầu Tư Dài Hạn,Q3 2024,89.42,AGG
Tài Sản Dài Hạn Khác,Q3 2024,103.99,AGG
NỢ PHẢI TRẢ,Q3 2024,"4,088.54",AGG
Nợ Ngắn Hạn,Q3 2024,"3,456.26",AGG
Nợ Dài Hạn,Q3 2024,632.28,AGG
VỐN CHỦ SỞ HỮU,Q3 2024,"3,116.02",AGG
Vốn Và Các Quỹ,Q3 2024,"3,116.02",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"7,204.56",AGG
TỔNG TÀI SẢN,Q3 2024,852.41,LEC
TÀI SẢN NGẮN HẠN,Q3 2024,681.83,LEC
Tiền Và Tương Đương Tiền,Q3 2024,1.33,LEC
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,0.00,LEC
Các Khoản Phải Thu,Q3 2024,610.27,LEC
"Hàng Tồn Kho, Ròng",Q3 2024,56.00,LEC
Tài Sản Lưu Động Khác,Q3 2024,14.24,LEC
TÀI SẢN DÀI HẠN,Q3 2024,170.58,LEC
Phải Thu Dài Hạn,Q3 2024,0.00,LEC
Tài Sản Cố Định,Q3 2024,9.39,LEC
