CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG TÀI SẢN,Q3 2024,"1,074.22",NVT
TÀI SẢN NGẮN HẠN,Q3 2024,180.58,NVT
Tiền Và Tương Đương Tiền,Q3 2024,64.67,NVT
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,0.30,NVT
Các Khoản Phải Thu,Q3 2024,91.95,NVT
"Hàng Tồn Kho, Ròng",Q3 2024,13.01,NVT
Tài Sản Lưu Động Khác,Q3 2024,10.65,NVT
TÀI SẢN DÀI HẠN,Q3 2024,893.64,NVT
Phải Thu Dài Hạn,Q3 2024,10.48,NVT
Tài Sản Cố Định,Q3 2024,539.84,NVT
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,0.00,NVT
Tài Sản Dở Dang Dài Hạn,Q3 2024,103.92,NVT
Đầu Tư Dài Hạn,Q3 2024,6.89,NVT
Tài Sản Dài Hạn Khác,Q3 2024,232.51,NVT
NỢ PHẢI TRẢ,Q3 2024,524.73,NVT
Nợ Ngắn Hạn,Q3 2024,127.14,NVT
Nợ Dài Hạn,Q3 2024,397.58,NVT
VỐN CHỦ SỞ HỮU,Q3 2024,549.50,NVT
Vốn Và Các Quỹ,Q3 2024,549.50,NVT
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,NVT
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,NVT
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"1,074.22",NVT
TỔNG TÀI SẢN,Q3 2024,"4,527.68",NTC
TÀI SẢN NGẮN HẠN,Q3 2024,"1,598.36",NTC
Tiền Và Tương Đương Tiền,Q3 2024,6.52,NTC
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,"1,512.19",NTC
Các Khoản Phải Thu,Q3 2024,68.90,NTC
"Hàng Tồn Kho, Ròng",Q3 2024,0.83,NTC
Tài Sản Lưu Động Khác,Q3 2024,9.91,NTC
TÀI SẢN DÀI HẠN,Q3 2024,"2,929.32",NTC
Phải Thu Dài Hạn,Q3 2024,0.00,NTC
Tài Sản Cố Định,Q3 2024,27.70,NTC
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,307.52,NTC
Tài Sản Dở Dang Dài Hạn,Q3 2024,184.99,NTC
Đầu Tư Dài Hạn,Q3 2024,635.28,NTC
Tài Sản Dài Hạn Khác,Q3 2024,"1,773.83",NTC
NỢ PHẢI TRẢ,Q3 2024,"3,370.51",NTC
Nợ Ngắn Hạn,Q3 2024,485.50,NTC
Nợ Dài Hạn,Q3 2024,"2,885.01",NTC
VỐN CHỦ SỞ HỮU,Q3 2024,"1,157.17",NTC
Vốn Và Các Quỹ,Q3 2024,"1,157.17",NTC
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,NTC
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,NTC
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"4,527.68",NTC
TỔNG TÀI SẢN,Q3 2024,2.68,PIV
TÀI SẢN NGẮN HẠN,Q3 2024,1.99,PIV
Tiền Và Tương Đương Tiền,Q3 2024,0.07,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,0.00,PIV
Các Khoản Phải Thu,Q3 2024,1.50,PIV
"Hàng Tồn Kho, Ròng",Q3 2024,0.04,PIV
Tài Sản Lưu Động Khác,Q3 2024,0.38,PIV
TÀI SẢN DÀI HẠN,Q3 2024,0.69,PIV
Phải Thu Dài Hạn,Q3 2024,0.08,PIV
Tài Sản Cố Định,Q3 2024,0.14,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q3 2024,0.19,PIV
Đầu Tư Dài Hạn,Q3 2024,0.00,PIV
Tài Sản Dài Hạn Khác,Q3 2024,0.29,PIV
NỢ PHẢI TRẢ,Q3 2024,0.62,PIV
Nợ Ngắn Hạn,Q3 2024,0.62,PIV
Nợ Dài Hạn,Q3 2024,0.00,PIV
VỐN CHỦ SỞ HỮU,Q3 2024,2.06,PIV
Vốn Và Các Quỹ,Q3 2024,2.06,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q3 2024,2.68,PIV
TỔNG TÀI SẢN,Q3 2024,"1,021.50",PTL
TÀI SẢN NGẮN HẠN,Q3 2024,676.52,PTL
Tiền Và Tương Đương Tiền,Q3 2024,28.67,PTL
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,0.00,PTL
Các Khoản Phải Thu,Q3 2024,426.81,PTL
"Hàng Tồn Kho, Ròng",Q3 2024,190.54,PTL
Tài Sản Lưu Động Khác,Q3 2024,30.50,PTL
TÀI SẢN DÀI HẠN,Q3 2024,344.98,PTL
Phải Thu Dài Hạn,Q3 2024,68.25,PTL
Tài Sản Cố Định,Q3 2024,81.86,PTL
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,155.80,PTL
Tài Sản Dở Dang Dài Hạn,Q3 2024,10.72,PTL
Đầu Tư Dài Hạn,Q3 2024,7.00,PTL
Tài Sản Dài Hạn Khác,Q3 2024,21.36,PTL
NỢ PHẢI TRẢ,Q3 2024,520.23,PTL
Nợ Ngắn Hạn,Q3 2024,500.34,PTL
Nợ Dài Hạn,Q3 2024,19.89,PTL
VỐN CHỦ SỞ HỮU,Q3 2024,501.27,PTL
Vốn Và Các Quỹ,Q3 2024,501.27,PTL
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,PTL
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,PTL
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"1,021.50",PTL
TỔNG TÀI SẢN,Q3 2024,"22,663.32",PDR
TÀI SẢN NGẮN HẠN,Q3 2024,"19,570.73",PDR
Tiền Và Tương Đương Tiền,Q3 2024,220.70,PDR
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,15.37,PDR
Các Khoản Phải Thu,Q3 2024,"6,369.81",PDR
"Hàng Tồn Kho, Ròng",Q3 2024,"12,853.54",PDR
Tài Sản Lưu Động Khác,Q3 2024,111.31,PDR
TÀI SẢN DÀI HẠN,Q3 2024,"3,092.59",PDR
Phải Thu Dài Hạn,Q3 2024,714.38,PDR
Tài Sản Cố Định,Q3 2024,748.06,PDR
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,63.63,PDR
Tài Sản Dở Dang Dài Hạn,Q3 2024,533.46,PDR
Đầu Tư Dài Hạn,Q3 2024,53.11,PDR
